LISTA DE ARTICULOS Nº 195 VIGENCIA 13/03/2024,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
A086,Calefaccion Citroen 2 CV.,7661.248,
A087,Acelerador mariposa carburador Peugeot 504.derecho,16354.240,
A088,Disco de Embrague Fiat 600. Wobron 417.,9658.880,
A089,Acelerador Rastrojero. Bomba inyectora Perkins.,7463.680,
A090,Cebador Citroen 2 CV.,7024.640,
A091,Patin Sup. Trasero y Del. Opel K 180,13149.248,
A092,Acelerador Chevy y Chevrolet 400.,8934.464,
A093,Seguro boton bocina camion y camioneta Dodge.,1317.120,
A094,Registro Patin Freno inferior trasero Dodge 1500.,21732.480,
A095,Embrague Bedford. Chevrolet.,12951.680,
A096,Seguro de palier Fiat 600.,1008.020,
A097,Optica Ford Falcon.,9000.320,
A098,Embrague Valiant y Dodge Polara.,10295.488,
A099,Resorte de boton bocina camion y camioneta Dodge.,5092.798,
A100,Palanca de cambio Renault 4.,16823.558,
A101,Valvula Ford Taunus L -GXL-GT Motor 2000-2300 desde 1974. ref. original 74BR6513C.,39733.120,
A102,Palanca de cambio Renault 6.,17575.575,
A103,Embrague universal mediano.,16661.568,
A104,Embrague universal corto.,12073.600,
A105,Embrague Renault Gordini.,9395.456,
A106,Pedal Embrague Ika. Tornado y camionetas mod.viejo,11744.320,
A107,Patin Freno trasero Pik-Up Dodge.,10536.960,
A108,Patin Freno inf. Fiat 1500-1600. Trasero Fiat 125.,10536.960,
A109,Patin Freno inf. Peugeot tras. todos. Delant. s/ freno disco. Patin freno tras. Dodge 1500.,10317.440,
A110,Resorte abraza campana y evita ruido IKA.,36769.600,
A111,Valvula Renault 12-1289cc. R 6 -1118cc desde 1970. R 4 1050cc. Ref. orig. 77-00599770,15567.009,
A112,Palanca de cambia Fiat 600 - 750- 800.,7244.160,
A113,Palanca de cambio Fiat 128.,6292.123,
A114,Selectora Caja de Cambios Chevrolet,1404.848,
A115,Patin Freno inf. tras. y del. Fiat 600- 128- 750.,10756.480,
A116,Embrague Universal Largo,26496.064,
A117,Patin Freno del. y tras. Ford Falcon mod. 64/77.,13171.200,
A118,Patin Freno sup. Pik-up. Chevrolet 400 y Chevy.,13171.200,
A119,"Patin Freno sup. tras. Chevrolet 400. Falcon 9"".",13171.200,
A120,Patin Freno sup. del. y Tras. Fairlane y Valiant.,13171.200,
A121,Patin freno Falcon - Fairlane- F 100- F 600 y F350. Dodge y Chevrolet.,1536.629,
A122,Pedal de Embrague Falcon. Largo.,15146.880,
A123,Pedal Embrague Falcon. Corto.,14927.360,
A124,Valvula Fiat 600 D.E.R. 1960/77. Ref. Orig.898327.,22610.560,
A125,Valvula Fiat 1500. exterior. Ref Orig. 4025663.,33586.560,
A126,Valvula Fiat 1500. Interior. Ref Orig. 4025662.,21293.440,
A127,Registro patin Freno del. y tras. Fiat 600 - 750. Trasero fiat 128 automatico.,11415.040,
A128,Bomba de nafta Chevrolet.,5092.859,
A129,Pedal de Embrague Pik-up Chevrolet. Largo.,16683.520,
A130,Patin Freno superior Rastrojero.,13149.248,
A131,Patin freno corto tras. inf. Rastrojero. Mod.nuevo,8539.328,
A132,Patin freno delantero Rastrojero. modelo 73/80,22915.863,
A133,Pedalera de Embrague Rastrojero.,8802.752,
A134,Res. Rectangular evita ruidos Freno mano.Universal,8561.280,
A135,Reforma cilindro de Freno 3/4.,4159.268,
A136,Patin freno sup. del. Ford 500 -600. Sup. tras 350,14268.800,
A137,Soporte lateral de motor Fiat 1500.,29415.680,
A138,Valvula Renault 6 y R 12 Break  modelo 75/80. Ref. Orig. 7702056065,15567.009,
A139,Palanca de cambio inferior Fiat 600- 750- 800. perno Anclaje M. Benz 911-312-3500,3648.939,
A140,Palanca de cambio superior Fiat 600- 750- 800.,7312.578,
A141,Patin Freno autorregulable Ford y Chevrolet.,10317.440,
A142,Patin Freno delant. Ford 600 l964/70. Delant. Sup Chevroñet 4000-6000-6400-6600,23269.120,
,Retorno zapata anclaje Dodge 400 - DP 500 - D 500.,,
A143,Patin freno largo trasero Rastrojero. mod. nuevo,21284.118,
A144,Bomba de aceite universal. Varios.,7603.081,
A145,Res. escobilla limpia parabrisa Largo. Varios.,7902.720,
A147,Patin Freno del. y tras a aire Dodge 600-D yDP 600. Ford del. y tras. 600- 700 - 619,18000.640,
,Delantero y trasero 673 - 674. Fiat camiones,,
A148,Patín Freno Inf. delan. Dodge CD 500- D400- DP 500.Ford 600 1964/77.Ford 350 trasero ,13610.240,
A149,Crique (gato) izquierdo Ford- Chevrolet- Valiant.,7683.200,
A150,Res. para asiento hidraulico camiones y colectivos,63552.855,
A151,Reforma cilindro de Freno 7/8.,4375.307,
A152,Caja de direccion Renault 12 y Dodge 1500. Tapon.,4170.880,
A153,Caja de direccion Peugeot.,11524.800,
A154,Patin Freno inf. del. y Tras. Renault 4 Y R 6. Trasero Renault 12.,9878.400,
A155,Retorno zapata Freno corto tras. Hid. Ford 700 desde 1968/77.,27110.720,
,Dodge D600 - DP600.  Chevrolet CD600 - C 60,,
A156,Retorno zapata freno largo tras. Hid. Ford 700 desde 1968/77.,27879.040,
,Dodge D600 - DP600.  Chevrolet CD600 - C 60,,
A157,Patin Freno sup. doble cuerpo Ford 350 l968/77.,27879.040,
A158,Caja de direccion Dodge 1500. Corto.,3270.859,
A159,Caja de direccion Fiat 128. Empujador.,3292.800,
A160,Caja de direccion Fiat todos. Placa.,3402.560,
A161,Soporte de tapa de direccion Renault 4.,6892.928,
A162,Valvula interior Dodge 1500. dde l975. Motor 1798cc. Ref. Orig 71248568,17825.024,
A163,Valvula exterior Dodge 1500. dde l975. Motor 1798c,32818.240,
A164,Retroceso Freno mano Ford Falcon. Regulador automatico Tras. Dodge GTX/ Polara,13829.760,
A165,Alargue inf. suplem. Freno tras.Fiat 125-1500-1600,4148.928,
A166,Crique (gato) derecho. Ford- Chevrolet- Dodge.,7683.200,
A167,Patin Freno delantero inferior Ford 350. mod 68/90,11195.520,
A168,Seg. Patin del. tras. derecho Ford 350. 1968/90,11854.080,
A169,Seg. Patin del. tras. izquierdo Ford 350. 1968-90,11854.080,
A170,Registro Patin Freno automatico Ford 350. Izquier.,9658.880,
A171,Registro Patin Freno automatico Ford 350. Derecho.,9658.880,
A172,Embrague Renault 12 y R 6.,11150.698,
A173,Valvula exterior Fiat 1600. Ref Orig 4118615.,33586.560,
A174,Valvula interior Fiat 1600. Ref. Orig. 4118614.,21293.440,
A175,Resorte para retroceso butaca Ika Torino.,8561.280,
A176,Contrapeso dist. Opel K 180 y Ford Spring. Pesado.,6366.080,
A177,Contrapeso dist. Opel K 180 y Ford Spring.Liviano.,6366.080,
A178,Contrapeso distribuidor Renault 12.,3731.840,
A179,Contrapeso distribuidor Ford Falcon.,3731.840,
A180,Contrapeso distribuidor Fiat 600.,3292.800,
A181,Contrapeso distribuidor Peugeot. Pesado.,6892.928,
A182,Contrapeso distribuidor Peugeot. liniano.,6892.928,
A183,Bomba de Embrague Peugeot. Caja B A 7.,4293.884,
A184,Reforma cilindro de Freno 11/16. Varios.,4170.880,
A185,"Patin freno Ford F 100 del. tras. Zapata primaria 10"". Dodge D100- D200. Valiant 3y4 ",13171.200,
A186,"Patin de Freno del. y tras.Valiant l y ll.Campana 9"".",13171.200,
A187,"Patin Freno del. y Tras.Ford Falcon y F 100.Dodge 10-200 registrado, Valiant.",11854.080,
A188,Patín superior Dodge 1500.,9219.840,
A189,Seg.rul. emp. Horq. Embrage M.Benz 3500-4500-L312.,3292.800,
A190,Valvúla Renault Dauphine 4L-4F-850-4.1960-70.Ref. orig. 6063170.,18878.720,
A191,Bomba Freno doble circuito Peugeot 504 y Dodge.,6563.648,
A192,"Cilindro Freno principal Chevrolet 400. Ford F 100, Falcon 1"". Ika (todos). M. Benz.",4609.920,
A193,"Cilindro Embrague opoerante Dodge D 100- D 400 mod. 60/68. Ford F100-500-600 1"".",2414.720,
A194,"Cilindro Embrague operante Ika (todos). 7/8"".",2634.240,
A195,Cilindro Freno princ. Ika (todos).Ford Falcon(ran),6146.560,
A196,Embrague F 400- F 600- F-700. Largo total 565mm.,43684.480,
A197,Guía caracol anclaje patines Freno Chevrolet.,3248.896,
A198,Pedal Embrague F 350 - F 3500. Largo total 460mm.,46538.240,
A199,Pedal de Freno Ami 8 y Citroen.,7814.912,
A200,Crapodina Embrague Renault 12 TS y TL.,16903.040,
A201,Crapodina Embrague Renault 6.,16464.000,
A202,Valvula Chevrolet y Pik-up 194- 230 desde 1962. Ref. Orig. 3836331.,34684.160,
A203,Válvula Dodge- Valiant motor 170- 225. desde l962.,37318.400,
A204,Válvula Perkins 3-152 4-203 6-305 exterior. desde,26342.400,
A205,Bomba de Nafta Peugeot.,3336.704,
A206,Diafragma bomba de nafta Ford Taunus. 1974.,7880.768,
A207,Bomba Nafta Ford Taunus mod. 74/80.,2568.384,
A208,Pata bomba de nafta Ford Falcon.,2568.384,
A209,Bomba de nafta F 600- F 100.,2370.816,
A210,Brazo bomba nafta Dodge y Plymauth.,2853.760,
A211,Leva bomba de nafta Ika Estanciera. Baqueano.doble,2853.760,
A212,Pata bomba nafta Ford F 100.,3073.280,
A213,Bomba de nafta universal cónico.,2173.248,
A214,Casco faro delantero Falcon mod 73.,10119.872,
A215,Faro Fairlane mod.69/70 doble.Resorte aro.,8736.896,
A216,Casco faro Ford F 100. Mod.74/81.,7353.920,
A217,Faro delantero Ford. Aro parrilla Falcon,9000.320,
A218,Casco faro delantero Ford Falcon.,8451.520,
A219,Regulador tornillo faro Fiat 600.,6124.608,
A220,Faro delantero Ford F 100 hasta l973.,7463.680,
A221,Faro optica casco duales Ford. mod. 73/80.,5519.911,
A222,Resorte para unidad sellada universal.,6888.692,
A223,Clip unidad sellada universal.,4607.390,
A224,Clip unidad sellada universal y Dodge.,4607.390,
A225,Clip unidad sellada Dodge 1500.,4607.390,
A226,Sosten unidad sellada chica universal.,14256.037,
A227,Sostén cristal faro Mercedes Benz 1120.,6432.432,
A228,Sosten cristal faro Mercedes Benz 312- 180.,5063.650,
A229,Sosten cristal faro M. Benz 3500. Aro con visera.,13799.777,
A230,Sosten cristal Mercedes Benz 3500. Original.,4607.390,
A231,Reten cristal faro Chevrolet.,4607.390,
A232,Reten faro Renault 4L y óptica Peugeot corto.,14256.037,
A233,Reten faro Renault 12.,14709.499,
A234,Reten cristal faro Peugeot 403- 404.,11039.822,
A235,Retén óptica Peugeot largo.,14256.037,
A236,Retén óptica Peugeot corto Cibis.,4607.390,
A237,Gancho superior casco faro Peugeot-Marchal.,5063.650,
A238,Retén cristal faro Mercedes Benz 170 D.,4607.390,
A239,Retén unidad sellada Peugeot.,4607.390,
A240,Seguro óptica Ami 8. Citroen.,4607.390,
A241,Traba rulemán empuje Peugeot.,3216.216,
A242,Capot Bedford (todos).,53779.943,
A243,Bomba Embrague Fiat 1500- 1600.,3902.388,
A244,Horquilla Embrague Mercedes Benz 1112- 1114.,24147.200,
A245,Presion de aceite Fiat 600.,2808.794,
A246,Pasador perno pastilla disco Peugeot - Fiat - Ford- Chevrolet- Dodge- Renault.,2303.695,
A247,Patín sup. del. Freno Mercedes Benz 170- 180.,12862.064,
A248,Patín Freno Mercedes Benz 911.,48733.440,
A250,Acelerador Mercedes Benz 608.,12073.600,
A251,Acelerador Ika. Rambler.,14618.399,
A252,Acelerador Bedford. J-6.,9197.888,
A253,Pedal Freno y Embrague Citroen 2 CV.,8780.800,
A254,Bomba Embrague Fiat 1500- 1600.,5597.760,
A255,Palanca cambio Renault 4 L. corto.,4666.348,
A256,Bomba de aceite Ford modelos viejos.,1975.680,
A257,Bomba de Acelerador Ford mod. viejos.,1975.680,
A258,Contrapeso distribuidor Falcon. secundario.,4170.880,
A259,Palanca carburador Jeep Willis.,8561.280,
A260,Bomba de aceite Fiat 125- 128.,3648.939,
A261,Pastilla Freno disco Ford- Chevrolet- Ika- Dodge.,7344.952,
A262,Seguro patín Ford Falcon F 100 y Pik up.,4128.737,
A263,Patin Freno Trasero Ciutroen 2 CV.,11952.342,
A264,Patín Freno sup. del. Citroen 2 CV.,12408.603,
A265,Patín Freno tras. Mercedes Benz 312- 3500.Reformas,31246.838,
A266,Patín Freno sup. Tras. Renault Fuego Y R 18.,8279.866,
A267,Patin inf. tras. Renault Fuego y Renault 18. Inferior trasero Chevrolet 400.,11854.080,
A268,Distensiador patín Freno Ford Sierra (derecho,8279.866,
A269,Distensiador patín Freno Ford Sierra (izquierdo).,8279.866,
A270,Patín Freno superior Ford Sierra (derecho).,8736.127,
A271,Patín Superior Ford Sierra (izquierdo).,8736.127,
A272,Patín Freno inferior Ford Sierra (derecho e izq.).,9192.387,
A273,Acelerador Ford Taunus.,6432.432,
A274,"Patín tras. corto Camión Chevrolet 4000-6000-6400-6600,",19750.756,
A275,Patín tra. largo. camión Chevrolet 4000-6000-6400-6600.,20229.410,
A276,Cilindro Freno rueda tras. y del. Siam Di Tella.,3292.800,
A277,Zapata patín Freno trasero. Ford 700- 900.,92368.934,
A278,Patín Freno inferior del.y tras. Mercedes Benz 608,11039.822,
A279,Pedal de freno Bedford.,22609.551,
A280,Pastilla Freno a disco Ford Taunus. Modelo viejo.,5509.952,
A281,Pastilla Freno a disco Ford Taunus. Modelo nuevo.,5509.952,
A282,Patín freno delantero M. Benz 312- 911- 3500.,30513.280,
A283,Filtro aceite Fiat 600.,2612.288,
A284,Bombín Embrague Peugeot 404-504 caja BA 7.,3292.800,
A285,"Bomba Freno Mercedes Benz 1 1/4"" bicónico.",8890.560,
A286,Valvula int. Perkins 6-354 1966/77. Ref.031744131.,21073.920,
A287,Valvula ext. Perkins 6-354. 1966/77. Ref. 3174512.,34464.640,
A288,Pat1n Freno trasero Ford 500 y F 600.,25903.360,
A289,Perno Freno anclaje Mercedes Benz 608.,5246.528,
A290,Resorte de conjunto biceptor Bedford.,4280.640,
A291,Patín Freno trasero Mercedes Benz 1112- 1114.,86395.562,
A292,Patín Freno delantero Mercedes Benz 1112- 1114.,133743.073,
A293,Placa Embrague M.Benz 1112-1114. iny. dir. reforz.,23927.680,
A294,Patín Freno del. y tras. M. Benz 608. largo.,17925.714,
A295,Patín Freno del. M. Benz 1112- 1114. Aire orig.,62972.330,
A296,Pedal de freno Mercedes Benz 3500.,34919.314,
A297,Pedal Embrague Mercedes Benz 321.,58821.200,
A298,Manguera acoplado Mercedes Benz.,91002.952,
A299,Pulmon trasero M. Benz Bendix. Scania.eq. reforma.,45043.816,
A300,Pulmon del. y tras. M. Benz 3500. Eq. con reformas,57452.419,
A301,Registro. patín trasero. corto M. Benz 312- 911. Delantero y trasero 1112 -1114.,48294.400,
A302,Registro patín largo M. Benz 3500- 4500- 911- 312.,50489.600,
A303,Bulón corredera dínamo Mercedes Benz 1112-1114-321,51587.200,
A304,Patin Freno del. y tras. M. Benz 3500- 4500 centro,11496.082,
A305,Patín Freno aire del. y tras. M. Benz. Eq. reforma,37676.470,
A306,Patín Freno del. y tras. M. Benz. eq. ref.(viejos),38614.184,
A307,Horquilla Embrague Mercedes Benz 312- 911- 3500.,34919.314,
A308,Placa Embrague M. Benz 1112- 1114. Iny.dir.(corto),23269.120,
A309,Patín Freno sup. del y tras. M. Benz 608 (mediano),16078.280,
A310,Patin Freno carroceria Prati - El Detalle- Montenegro.,56517.505,
A311,Patín Freno acoplado Salto. M. Benz. Bedford 350.,57452.419,
A312,Freno Original M. Benz 1114 78 al 88. Bedford 350.,56517.505,
A313,Acelerador Perkins (largo).,13799.777,
A314,"Retorno zapata Freno Ford 700- F 600 modelo 68/77, Delantero s/aire Chev, 350- C30.",67554.527,
A315,Patin Freno trasero inferior Renault Fuego y R 18.,7823.606,
A316,Patín Freno delantero Citroen y Ami 8.,12408.603,
A317,Patín Freno trasero corto Ford 600.,19750.756,
A318,Patín Freno trasero Ford 350.,20685.670,
A319,Freno de mano izquierdo Ford Taunus.,9648.647,
A320,Pedal Embrague Citroen 18 HP.,21126.948,
A321,Acelerador Citroen y Ami 8.,9219.840,
A322,Resorte guia cremallera Citroen.,4280.640,
A323,Resorte para varilla Acelerador Citroen 14 HP.,7823.606,
A324,Patín trasero Ford Fairlane 69.,15622.019,
A325,Calefacción Citroen 3 CV.,7823.606,
A326,Seguro leva de encendido Citroen.,363.889,
A327,Pedal Embrague y Freno Citroen 14 HP.,9192.387,
A328,Pedal Embrague y Freno Citroen 3 CV.,12408.603,
A329,Freno de mano Rastrojero.,8736.127,
A330,Acelerador Rastrojero mod. 68/71.,11496.082,
A331,Horquilla Embrague Fiat 125- 1500- 1600.,11195.520,
A332,Soporte pastilla Freno a disco Fiat 1500-1600-125. Peugeot 404- 504.,7344.952,
A333,Anclaje zapata Freno tras. F600 mod. 64/77 y Dodge,43652.642,
A334,Patín delantero Bedford. modelo 60/68.,21141.930,
A335,Registro patín Freno Ford 600- F700 mod. l966/72.,14685.888,
A336,"Patin inf. Freno mano M. Benz 1114.Pedalera freno/emb.Ford Falcon,super reforzado.",53301.289,
A337,Freno de mano derecho Ford Taunus.,10536.960,
A338,Conjunto biceptor freno Bedford.,10536.960,
A339,Valvula Perkins 3-152. 4-203. 6-305 mod. l960/77. interior. Ref. Original 0780007.,14466.368,
A340,Valvula Ford Taunus motor 2000- 2300 desde l978. Ref. Original 77 BR 65 BA,39294.080,
A341,"Valvula interior Ika torino motor 7 bdas.1974/77, Ref. Original 2214289.",23708.160,
A342,Valvula exterior Peugeot 403- 404 naftero 1960/77. Ref. Original 812138015.,37098.880,
A343,Valvula interior Peugeot 403- 404 naftero l960/77. Ref. Original 812139015.,22830.080,
A344,Valvula Renault 11. ref. orig. 770065195.,28098.560,
A345,"Valvula F. Sierra motor 1,6. Ref. orig. 79HN 6513",31171.840,
A346,"Valvula F.Sierra XR4 motor 2,3. N.LE2TE 6A511A2A.",36220.800,
A347,Valvula Volkswagen Gacel exterior.,26561.920,
A348,Valvula Volkswagen Gacel interior.,16968.896,
A349,Valvula Ford Spring.,43025.920,
A350,"Retorno zapata Ford. Leva accionamiento aire. Patin Dodge del. Y tras. Freno aire,",30732.800,
A351,Cerradura puerta izquierda Fiat 128.,9192.384,
A352,Cerradura puerta derecha Fiat 128.,9192.387,
A353,Valvula Peugeot 504 mod. 69/77. Exterior. Ref. Original 0812032.,32708.480,
A354,Patín Freno superior trasero Volkswagen Gacel.,23901.886,
A355,Patín Freno inferior trasero Volkswagen gacel.,20229.410,
A356,Cuña ajuste Patín Freno trasero Volkswagen Gacel.,5976.171,
A357,Patín Freno trasero Volkswagen Gacel.,13592.640,
A358,Retorno varilla Acelerador Volkswagen Gacel.,9648.647,
A359,Clip eje valancín de valvula Volks.Gacel y Kombi.,7823.606,
A360,Patín Freno Mercedes Benz 1517. Delant. y trasero.,64794.572,
A361,Cerradura Volkswagen gacel derecha.,5976.171,
A362,Cerradura Volkswagen gacel izquierda.,5976.171,
A363,Patín Freno trasero Renault 11. Inferior.,12453.389,
A364,Patín Freno Renault 11. Superior.,18885.821,
A365,Freno de mano Renault 11.,12909.649,
A366,Pedal Embrague Renault 11.,17060.779,
A367,Acelerador Renault 18 GTL.,17013.194,
A368,Acelerador Renault 18.,17925.714,
A369,Acelerador Renault 11.,18381.975,
A370,Patín Freno superior Renault Trafic.,22989.365,
A371,Patín Freno inferior Renault Trafic.,16078.280,
A372,Porta escobilla bomba agua Peugeot 504 RD derecho.,8279.872,
A373,Porta escobilla bomba agua Peugeot 504 RD izquier.,8279.872,
A374,Selectora caja 5 velocidades Fiat 128.,31703.098,
A375,Palanca cambio Renault Trafic.,19294.496,
A376,Traba varilla palanca cambio Renault l8 y R.Fuego.,8279.866,
A377,Selector caja velocidad GRZ Peugeot 505.,12862.064,
A378,Palanca de Embrague Peugeot 504 GRZ.,11952.336,
A379,Palanca cambio Renault 12.,18381.975,
A380,Soporte pastilla Freno disco Volkswagen gacel.,6888.692,
A381,Acelerador Renault 12. R 4S e Ika Torino.,14709.499,
A382,Crique (gato) Chevrolet- Ford- Dodge- (reforzado).,10104.908,
A383,Bisagra Capot Falcon.,61465.600,
A384,Bisagra capot Fairlane.,58172.800,
A385,"Valvula interior Peugeot modelo 69/77, Ref. Original 812139015.",22830.080,
A386,Seguro patín Freno Renault 18.,4128.737,
A387,Gatillo Registro Derecho Renault 11 y R 9. Trasero,3672.476,
A388,Gatillo Registro Izq. Renault 11 y R 9.Trasero,3672.476,
A389,Leva Patin Trasero Renault 11 y R 9.,11039.822,
A390,Patin superior Ford Taunus.Doble cuerpo Largo 146m,16078.280,
A391,Patin Superior Fiat 147 y Fiorino.,11039.822,
A398,Caja direccion Dodge 1500 y Renault 12. Liviano,8122.240,
A399,Caja direccion Fiat mediano. Largo 18mm.,4128.737,
A400,Caja direccion Fiat largo.,8232.000,
A401,"Caja direccion  Fiat mediano, largo 22mm.",7134.400,
A402,Caja direccion Fiat chico.,4128.737,
A403,Caja direccion extremo importado.,4607.390,
A404,Caja direccion Ford Taunus.,7353.920,
A405,Caja direccion Dodge largo y Peugeot.,9325.210,
A406,"Patin Scania 113 barrilito 4,75",50563.727,
A407,Bomba de freno Universal,5063.650,
A408,Corectora de Freno Duna y Regata,16534.540,
A409,Patin trasero Sup. Renault 6- R12,11952.342,
A410,Patin freno Fiat Camiones Corto,12862.064,
A411,Valvula Compensadora R 19- 21,31246.838,
A412,Freno de acoplado MONTENEGRO,55604.984,
A413,Freno de acoplado HELVETICA,40985.058,
A414,Freno de acoplado HELVETICA,57541.991,
A415,Freno de Acoplado ROMAPAR,67921.215,
A416,Freno de acoplado HELVETICA,35190.831,
A417,Freno de acoplado GUERRERO,12223.859,
A418,Freno de Acoplado HELVETICA,33822.050,
A419,Freno de acoplado HELVETICA,35669.485,
A420,Freno de acoplado MONTENEGRO,3146.237,
A421,Freno de acoplado HELVETICA MASTER,29057.908,
A500,Seguro perno de patin Montenegro,2258.909,
